,teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date,winner,team_1_mark,team_2_mark
34,FSN,TSD,19,1.0,1.0,0.0,1,20.0,3.0,0.0,48091,29767.0,25,1.0,10.0,0.0,1,0,US,US,825,2015-03-26,FSN,1.0,0.0
35,P1,TL,10,21.0,1.0,0.0,21,10.0,0.0,4.0,58674,63183.0,25,61.0,4.0,7.0,0,1,US,US,360,2015-01-25,TL,0.0,1.0
36,F5,FSN,13,27.0,0.0,3.0,27,13.0,1.0,5.0,63818,80884.0,33,75.0,2.0,8.0,0,1,US,US,799,2015-02-19,FSN,0.0,1.0
37,CLG,DIG,12,0.0,0.0,0.0,0,12.0,0.0,0.0,57668,39268.0,31,0.0,0.0,0.0,1,0,US,US,98,2013-04-18,CLG,1.0,0.0
38,CLG,T8,22,10.0,1.0,0.0,10,23.0,2.0,1.0,64224,49397.0,65,27.0,8.0,4.0,1,0,US,US,361,2015-01-25,CLG,1.0,0.0
39,SK,FNC,17,10.0,1.0,0.0,10,17.0,2.0,3.0,67260,60118.0,46,20.0,8.0,3.0,1,0,EU,EU,553,2014-04-02,SK,1.0,0.0
40,CLB,TSD,21,40.0,0.0,2.0,41,21.0,1.0,4.0,69793,86693.0,48,90.0,5.0,10.0,0,1,US,US,826,2015-03-26,TSD,0.0,1.0
41,DIG,P1,4,8.0,0.0,0.0,8,4.0,0.0,3.0,32140,43224.0,7,23.0,0.0,10.0,0,1,US,US,362,2015-01-26,P1,0.0,1.0
42,C9,TSM,13,5.0,2.0,0.0,5,13.0,4.0,1.0,71727,54455.0,31,11.0,10.0,5.0,1,0,US,US,238,2014-05-24,C9,1.0,0.0
43,MIL,CW,22,7.0,1.0,0.0,7,22.0,3.0,1.0,61582,43763.0,67,14.0,10.0,3.0,1,0,EU,DK,665,2014-07-25,MIL,1.0,0.0
44,TSM,CLG,23,12.0,1.0,1.0,12,23.0,3.0,1.0,72761,56861.0,45,24.0,11.0,1.0,1,0,US,US,138,2014-01-26,TSM,1.0,0.0
45,FNC,GMB,23,11.0,0.0,0.0,11,23.0,0.0,0.0,71000,56200.0,62,27.0,0.0,0.0,1,0,EU,RU,2172,2013-08-18,FNC,1.0,0.0
46,TL,GV,13,3.0,1.0,0.0,3,13.0,3.0,0.0,58085,40123.0,28,4.0,10.0,0.0,1,0,US,US,409,2015-03-01,TL,1.0,0.0
47,MIL,MYM,35,16.0,1.0,0.0,16,35.0,2.0,2.0,68940,53902.0,82,38.0,9.0,4.0,1,0,EU,PL,554,2014-04-02,MIL,1.0,0.0
48,CST,TSM,5,14.0,0.0,2.0,15,5.0,2.0,2.0,46016,63369.0,8,39.0,2.0,9.0,0,1,US,US,438,2015-03-29,TSM,0.0,1.0
49,TSM,CLG,7,1.0,2.0,0.0,1,7.0,4.0,0.0,59033,43496.0,11,2.0,11.0,5.0,1,0,US,US,331,2014-07-28,TSM,1.0,0.0
50,CRS,CLG,9,16.0,0.0,1.0,16,9.0,1.0,3.0,47670,64998.0,23,39.0,3.0,10.0,0,1,US,US,239,2014-05-24,CLG,0.0,1.0
51,CLG,WFX,15,3.0,1.0,0.0,3,15.0,3.0,1.0,54369,34981.0,50,11.0,11.0,0.0,1,0,US,US,411,2015-03-01,CLG,1.0,0.0
52,DEU,MS,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,0,,EU,841,2015-02-26,DEU,1.0,0.0
53,CST,WFX,25,7.0,1.0,0.0,8,25.0,3.0,2.0,70394,54901.0,70,14.0,10.0,3.0,1,0,US,US,363,2015-01-26,CST,1.0,0.0
54,JAG,ROX,15,15.0,0.0,2.0,15,15.0,3.0,2.0,70041,76785.0,31,42.0,5.0,8.0,0,2,KR,KR,901,2015-03-07,ROX,0.0,1.0
55,TSM,WFX,13,4.0,1.0,0.0,5,13.0,3.0,0.0,59276,45079.0,36,10.0,11.0,3.0,1,0,US,US,371,2015-02-01,TSM,1.0,0.0
56,SK,ROC,11,4.0,1.0,0.0,4,11.0,3.0,0.0,66621,45457.0,25,8.0,10.0,0.0,1,0,EU,EU,666,2014-07-26,SK,1.0,0.0
57,GMB,CW,18,8.0,1.0,0.0,8,18.0,1.0,3.0,63541,51020.0,48,14.0,9.0,3.0,1,0,RU,DK,753,2015-02-27,GMB,1.0,0.0
58,FNC,MIL,23,14.0,1.0,1.0,14,23.0,5.0,1.0,83260,67885.0,62,24.0,9.0,5.0,1,0,EU,EU,667,2014-07-26,FNC,1.0,0.0
59,GV,CST,15,3.0,2.0,0.0,3,15.0,3.0,0.0,61317,42431.0,38,7.0,11.0,2.0,1,0,US,US,412,2015-03-02,GV,1.0,0.0
60,LMQ,EG,21,10.0,1.0,0.0,10,21.0,2.0,2.0,64011,48588.0,47,28.0,7.0,3.0,1,0,US,US,240,2014-05-24,LMQ,1.0,0.0
61,P1,DIG,5,16.0,0.0,2.0,16,6.0,1.0,4.0,58913,71857.0,7,34.0,3.0,9.0,0,1,US,US,441,2015-03-29,DIG,0.0,1.0
