teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
IWC,NA LCS,11,29,0,0,29,11,1,1,55051,68548,18,63,2,10,12951
冰队射手,火队射手,29,37,1,0,37,29,0,3,57689,64815,53,46,3,8,12952
EU LCS,LMS,19,10,1,0,10,19,3,0,61574,49462,36,18,10,0,12953
LPL,LCK,10,21,0,1,21,10,0,3,52442,66516,23,46,3,10,12954
P1,NME,15,3,1,0,3,15,2,1,61859,42652,47,5,9,1,2013
C9,TL,13,25,0,2,25,13,3,2,66715,74210,28,71,6,10,2012
TDK,TSM,11,20,0,2,20,11,4,3,77881,91425,24,59,3,10,2014
LCK,EU LCS,7,21,0,2,21,7,0,4,52694,65084,17,39,2,11,12955
ROX,KDM,6,23,0,2,23,6,0,3,46455,62431,20,59,4,10,12295
LMS,IWC,22,7,1,0,7,22,2,0,62673,43310,57,17,11,0,12957
DIG,T8,16,2,1,0,2,16,3,1,63773,51749,42,5,8,2,2010
LPL,NA LCS,36,14,3,0,14,36,4,0,85218,65819,95,40,9,4,12959
IG,EDG,5,19,0,1,19,5,2,2,52095,67732,13,47,2,9,2508
AHQ,C9,2,9,0,1,9,2,0,2,33361,42637,1,29,2,7,12420
EDG,BKT,14,1,0,0,1,14,2,0,40010,25384,36,3,8,0,12422
C9,NME,20,10,1,0,10,20,2,0,55729,40461,48,22,9,1,2030
SKT,H2K,11,5,1,0,5,11,4,0,56435,44416,24,11,11,2,12411
P1,TSM,13,4,1,0,4,13,2,3,67974,59193,45,11,10,6,2032
火队双人同玩,冰队双人同玩,40,45,0,1,45,40,1,1,55416,63807,66,70,3,10,12960
CLG,FW,10,10,0,1,10,10,2,3,67182,67686,31,26,9,6,12410
ROX,PNG,23,5,1,0,5,23,3,1,60932,41892,69,19,9,3,12418
CLG,TL,8,5,1,0,5,8,4,1,59864,52603,12,14,7,3,2033
KT,TSM,16,3,1,0,3,16,1,3,67364,52972,53,8,10,3,12415
GV,DIG,14,26,2,1,26,14,4,4,84617,91193,40,82,8,9,2031
CLG,P1,12,14,0,2,14,12,4,1,58054,66785,30,35,9,8,2018
LGD,OG,10,16,1,1,16,10,2,3,66401,74672,19,49,5,11,12426
LGD,KNG,31,5,1,0,6,31,4,0,63813,39971,83,12,7,1,2526
SKT,BKT,22,7,1,0,7,22,3,0,54621,36062,43,15,9,0,12423
TDK,T8,12,26,0,2,26,12,2,4,76305,84321,38,74,8,10,2034
H2K,EDG,5,22,0,2,22,5,0,4,50825,67376,7,47,3,11,12416
NME,TDK,25,16,1,1,16,25,2,3,76835,70063,69,30,11,5,2019
OG,S04,19,8,0,1,8,19,2,1,62977,56322,47,15,7,4,13707
KT,ROX,20,6,1,1,6,20,4,1,76682,64743,35,12,10,3,11061
FW,ROX,15,7,2,0,7,15,2,2,68509,54332,43,17,11,5,12417
CLG,PNG,23,7,0,0,7,23,2,1,56389,44026,68,22,10,4,12419
SKT,EDG,19,6,2,0,6,19,4,1,70337,50513,55,19,9,3,12433
T8,C9,15,7,1,0,7,15,3,2,66950,57774,42,10,11,4,2016
UOL,G2,17,22,1,1,22,17,0,4,58830,66259,39,53,4,11,13709
H2K,BKT,25,14,2,0,14,25,3,1,66451,47975,56,30,11,1,12434
LGD,KT,4,22,0,1,22,4,1,1,44935,60600,9,51,2,10,12413
FNC,SPY,6,6,1,0,6,6,4,1,70371,62329,14,23,11,5,13710
ROC,H2K,14,19,1,1,19,14,1,3,64386,70097,37,48,3,10,13711
TSM,OG,3,12,0,1,12,3,0,4,48903,60750,8,27,2,10,12427
TL,NME,17,1,1,0,1,17,3,0,49639,34301,58,0,11,1,2035
C9,CLG,21,22,2,1,22,21,2,4,85551,82941,49,64,6,9,2037
TDK,P1,16,23,0,2,23,16,1,3,58345,66715,33,55,4,8,2036
FNC,G2,19,23,1,0,23,20,1,3,66316,67663,49,66,7,5,13735
VIT,H2K,12,13,2,1,13,12,5,3,111738,102186,29,35,10,4,13736
SK,FNC,6,25,0,1,25,6,1,1,43913,62248,9,55,6,11,2270
DIG,TSM,1,10,0,2,10,1,1,2,45148,57585,4,32,2,11,2039
IG,LM,20,11,0,0,11,20,0,0,49600,41000,49,25,8,3,14098
Wayi,LM,19,31,0,0,31,19,0,0,46900,57600,37,67,4,10,14099
OMG,WOA,26,11,0,0,11,26,0,0,61300,41700,66,34,10,3,14100
S04,G2,4,13,0,1,13,4,0,2,38199,53777,10,31,1,10,13684
H2K,GIA,9,1,1,0,1,9,1,1,49696,36202,30,4,10,2,13685
SPY,UOL,3,12,0,1,12,3,0,2,38831,52645,5,24,2,9,13686
VIT,ROC,1,8,0,1,8,1,1,2,52353,63490,3,15,4,11,13687
WE,PE,17,6,0,0,6,17,0,0,48100,37600,51,17,8,3,14101
