teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
OG,G2,22,9,1,0,9,22,2,2,66994,51099,56,25,10,4,833
Dragonborns,MS,24,14,0,0,14,24,0,0,105100,78999,44,27,0,0,2055
GIA,RG,18,13,1,0,13,18,2,2,59250,51399,40,23,8,6,2188
Against All Authority,Lemondogs,3,15,0,0,15,3,0,0,27305,40934,12,37,0,0,2056
Against All Authority,Lemondogs,2,11,0,0,11,3,0,0,32800,48139,5,34,0,0,2056
GMB,ROC,1,14,0,1,14,1,1,2,48334,69490,1,29,0,11,578
GIA,RG,6,17,0,2,17,6,1,3,47055,57687,11,35,3,10,2188
Against All Authority,Lemondogs,18,32,0,0,32,18,0,0,61200,77726,44,81,0,0,2056
Anarchy,KT,20,15,1,0,15,20,1,5,82121,78077,56,34,9,8,2393
GIA,Team ALTERNATE,26,8,0,0,8,26,0,0,74500,52300,57,9,0,0,2057
SK,GMB,12,15,2,1,16,12,1,4,70784,77479,36,34,5,11,579
GIA,RG,27,19,2,0,19,29,2,2,71152,56542,46,43,8,3,2188
Anarchy,KT,1,20,0,0,20,1,0,3,41343,57193,3,62,2,11,2393
CW,MIL,26,18,1,0,18,26,4,2,86189,72898,72,47,9,7,580
OMG,SS,19,6,0,0,6,19,3,0,45381,33934,42,12,8,3,2441
OMG,SS,10,14,0,0,14,10,1,4,51893,66542,26,29,3,11,2441
ROC,CWA,14,5,1,0,5,14,3,1,58914,49349,28,7,10,4,2189
KNG,Newbee,20,9,0,0,9,20,3,1,57966,44206,57,29,10,1,2442
KNG,Newbee,3,14,0,0,14,3,2,2,50629,67824,8,32,1,10,2442
EDG,IG,26,25,0,0,25,26,4,1,73589,74099,76,54,9,9,2443
EDG,IG,16,4,0,0,4,16,2,1,43398,35444,46,11,2,2,2443
WE,LGD,4,19,0,0,19,4,0,4,39078,55692,6,50,2,5,2444
CWA,DEU,23,14,2,0,14,23,2,2,69381,51122,55,29,10,2,835
WE,LGD,8,20,0,0,20,8,0,4,39274,53621,25,51,2,8,2444
Newbee,UP,23,18,0,0,18,23,3,3,84612,76424,69,53,10,4,2445
GIA,Team ALTERNATE,8,18,0,0,18,8,0,0,41000,51700,15,33,0,0,2057
Newbee,UP,31,24,0,0,24,31,3,3,81311,71059,74,65,10,3,2445
LGD,SS,15,24,0,0,24,15,0,4,65344,79240,38,59,2,10,2446
GIA,Team ALTERNATE,19,20,0,0,20,19,0,0,68800,69700,46,44,0,0,2057
LGD,SS,5,20,0,0,20,5,1,2,39704,55457,6,58,4,6,2446
GIA,Team ALTERNATE,11,15,0,0,15,11,0,0,79600,75000,21,41,0,0,2057
M3,OMG,6,15,0,0,15,6,0,2,34675,43427,10,38,2,5,2447
M3,OMG,5,17,0,0,17,5,0,2,37437,47909,7,34,2,8,2447
WE,VG,17,31,0,0,32,17,1,4,68050,69866,38,89,5,11,2448
WE,VG,24,5,0,0,5,24,4,0,59123,42746,45,11,9,1,2448
M3,UP,34,24,0,0,24,34,3,2,85035,69824,86,68,10,5,2449
M3,UP,20,7,0,0,7,21,3,0,56727,42929,48,13,9,2,2449
ROC,CWA,17,4,1,0,4,17,2,1,50878,40820,40,5,10,5,2189
VG,KNG,8,29,0,0,29,9,0,4,49835,66006,22,86,2,11,2450
SK,CW,21,4,0,0,4,21,2,0,49571,30794,31,7,11,1,582
RNG,M3,6,19,0,0,19,6,2,3,61076,76584,18,51,3,7,2423
CLG,CA,6,20,0,2,20,6,1,4,58842,75658,14,61,6,10,1955
VG,KNG,22,8,0,0,8,22,4,0,57018,41899,63,14,8,1,2450
RNG,M3,17,1,0,0,1,17,0,4,65045,50685,55,3,9,3,2423
G2,CWA,23,9,1,0,9,23,2,2,50845,36781,46,14,8,2,837
MS,DEU,6,21,0,2,21,6,0,4,52656,73839,15,52,1,10,838
IG,SS,19,6,0,0,6,19,2,2,56553,42336,52,16,9,2,2451
IG,SS,4,10,0,0,10,4,0,2,33877,42059,5,22,2,4,2451
MYM,ROC,12,8,1,0,8,12,2,2,79076,64988,33,18,10,3,583
EDG,RNG,16,18,0,0,18,16,4,2,82140,82454,33,50,10,6,2452
EDG,RNG,18,3,0,0,3,18,2,0,39617,27141,27,5,2,2,2452
ALL,FNC,13,6,2,0,6,13,3,1,64191,53404,40,14,10,4,584
EDG,KNG,21,5,0,0,5,21,3,0,54532,36560,44,17,8,1,2424
EDG,KNG,18,6,0,0,6,18,1,0,48557,36313,35,8,5,1,2424
CLG,CA,10,7,1,0,7,10,3,3,75041,64096,34,18,11,3,1955
CLG,CA,14,1,1,0,1,14,3,0,55652,35276,44,3,9,1,1955
EDG,M3,25,10,0,0,10,25,4,0,62411,43510,53,17,10,1,2453
WE,Newbee,4,16,0,0,16,4,0,2,39310,55708,6,43,2,9,2454
CLG,CA,15,8,1,1,8,15,2,3,68626,56616,36,9,9,3,1955
M3,KNG,25,8,0,0,8,25,4,0,65257,48573,64,17,9,1,2425
FNC,CW,23,3,1,0,3,23,2,0,58037,35527,44,6,9,0,586
WE,Newbee,3,23,0,0,23,3,0,2,28465,46642,11,47,0,6,2454
RNG,VG,23,25,0,0,25,23,3,4,91453,95781,67,80,6,9,2455
MIL,GMB,20,6,1,0,6,20,3,0,63444,43286,32,6,11,2,587
RNG,VG,18,3,0,0,3,18,2,0,53084,34896,41,5,10,3,2455
LGD,IG,18,6,0,0,6,18,3,1,73059,54911,42,19,11,2,2456
OMG,Newbee,26,11,0,0,11,26,3,2,82411,66828,84,21,9,3,2426
LGD,IG,17,28,0,0,28,17,1,5,68475,77068,43,77,5,9,2456
ROC,FNC,11,11,1,1,11,11,4,1,76038,74768,24,35,8,8,588
OMG,Newbee,9,21,0,0,21,9,1,2,45017,55053,20,71,3,8,2426
EG,CST,13,3,1,0,3,13,1,1,52530,34290,34,5,11,0,1956
SS,Newbee,15,1,0,0,1,16,3,1,59149,40953,48,1,10,3,2457
RNG,LGD,12,4,0,0,4,12,3,1,67010,55510,28,5,11,3,2427
RNG,LGD,7,20,0,0,20,7,2,2,42119,54327,17,57,4,8,2427
EG,CST,13,11,1,1,11,13,4,1,71614,56549,22,21,11,3,1956
EDG,VG,19,12,0,0,12,19,3,2,80137,65393,54,36,11,3,2428
SS,Newbee,6,19,0,0,19,6,1,3,57328,73852,12,49,3,9,2457
MYM,SK,13,18,0,2,18,13,5,1,75848,79648,38,46,9,10,589
EDG,VG,12,21,0,0,21,12,1,4,59713,67574,37,64,3,10,2428
RYL,KNG,24,11,0,0,11,24,0,0,61341,50872,59,27,0,0,1016
OMG,IG,10,1,0,0,1,10,2,0,37067,27932,18,1,7,1,2458
EG,CST,21,12,1,1,12,21,1,3,68276,54332,45,17,11,2,1956
IG,UP,17,8,0,0,8,17,3,0,55518,45338,33,15,5,2,2429
OMG,IG,14,7,0,0,7,14,2,2,64145,52571,34,22,8,4,2458
RNG,WE,25,5,0,0,5,25,3,1,67427,46846,71,16,8,4,2459
IG,UP,12,4,0,0,4,12,3,0,51446,39123,31,6,9,2,2429
CLB,T8,10,24,0,2,24,11,0,5,56479,77356,26,75,6,11,1957
IG,Gamtee,12,27,0,0,27,12,0,0,52443,66575,29,83,0,0,1017
FNC,GMB,3,10,0,2,10,3,1,4,61370,72237,10,29,7,10,590
IG,Gamtee,23,15,0,0,15,23,0,0,74122,62668,51,30,0,0,1017
EDG,SS,9,7,0,0,7,9,1,4,69099,60972,21,8,11,3,2430
OMG,SS,13,20,0,0,20,13,0,0,55888,67669,22,47,0,0,1018
EDG,SS,31,9,0,0,9,31,3,2,66348,50760,74,23,8,3,2430
CLB,T8,11,14,1,1,14,11,1,6,85415,98088,27,35,8,9,1957
CW,MYM,5,18,0,1,18,5,1,3,49648,67254,13,40,3,10,591
OMG,SS,31,13,0,0,13,31,0,0,86318,62147,73,34,0,0,1018
RNG,WE,28,9,0,0,9,28,3,0,65918,46559,83,28,11,3,2459
WE,M3,17,4,0,0,4,17,3,0,61855,46367,47,10,9,1,2431
LGD,M3,23,7,0,0,7,23,0,0,64449,43736,58,13,0,0,1019
EDG,UP,9,24,0,0,24,9,0,4,72680,81042,23,70,7,9,2460
WE,M3,6,20,0,0,20,6,1,4,57822,79827,17,55,3,8,2431
CLB,T8,12,6,1,0,6,12,2,2,64936,50533,26,14,8,1,1957
LGD,M3,17,27,0,0,27,17,0,0,57532,72317,41,72,0,0,1019
MIL,ALL,3,7,0,1,7,3,1,3,40043,55873,11,15,2,11,592
EDG,UP,13,26,0,0,26,13,1,3,48875,61546,23,75,3,9,2460
IG,SS,18,25,0,0,25,18,0,0,85147,91643,39,71,0,0,1020
KNG,LGD,12,27,0,0,27,12,1,5,58516,77389,35,61,5,8,2461
CLB,T8,14,3,2,0,3,14,4,0,83598,59259,23,5,11,4,1957
IG,SS,25,12,0,0,12,25,0,0,85775,68310,76,38,0,0,1020
KNG,LGD,17,6,0,0,7,17,2,2,60122,49618,56,17,10,3,2461
CLB,T8,10,19,0,1,19,10,0,4,52403,68269,24,51,4,10,1957
RNG,IG,13,22,0,0,22,13,1,4,62073,77192,34,69,3,9,2462
RNG,IG,8,17,0,0,17,8,0,4,42858,58556,20,33,1,8,2462
XDG,LMQ,3,16,0,0,16,3,0,0,38080,53687,8,51,0,0,1952
DEU,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841
XDG,LMQ,3,14,0,0,14,3,0,0,44757,60378,8,43,0,0,1952
VG,SS,13,9,0,0,9,13,2,2,54303,48505,41,23,9,3,2463
RG,OG,1,15,0,1,15,1,0,3,33246,52109,1,34,1,9,842
XDG,LMQ,2,12,0,0,12,2,0,0,41763,53015,5,28,0,0,1952
VG,SS,21,8,0,0,8,21,4,1,75802,61766,69,15,11,2,2463
EG,C9T,17,5,0,0,5,17,0,0,64721,50631,55,16,0,0,1953
DEU,OG,6,15,0,1,15,6,0,4,44653,60377,12,31,2,9,843
WE,UP,12,25,0,0,25,12,4,1,61346,74838,34,71,5,10,2464
OMG,RNG,17,9,0,0,10,17,3,1,56270,49018,59,16,7,3,2432
RNG,KNG,15,6,0,0,6,15,4,1,67844,50631,51,11,9,2,2433
RG,G2,28,8,1,0,8,28,3,1,62427,43609,60,21,10,1,844
RNG,KNG,26,10,0,0,10,26,3,2,77766,57753,78,30,9,1,2433
IG,Newbee,7,15,0,0,15,7,4,1,48603,60793,17,45,3,9,2434
CWA,MS,20,11,1,0,11,20,3,2,68065,51348,47,19,11,3,845
ROC,SK,2,8,0,1,8,2,0,6,51506,71572,5,16,2,10,593
IG,Newbee,4,15,0,0,15,4,2,3,48631,60036,13,43,2,8,2434
OG,DEU,29,8,0,0,8,29,3,0,56099,38360,64,16,9,2,846
XDG,C9,13,2,0,0,2,13,0,0,55006,34708,27,1,0,0,1926
VG,Gamtee,17,8,0,0,8,17,0,0,73349,54050,38,14,0,0,1021
TSM,CST,12,4,0,0,4,12,0,0,53422,39082,36,9,0,0,1927
VG,Gamtee,21,10,0,0,10,21,0,0,70693,54613,57,31,0,0,1021
LGD,UP,17,14,0,0,14,17,1,3,63852,56707,57,24,8,5,2435
G2,RG,24,12,1,0,14,24,2,0,56276,42970,56,16,11,2,847
WE,UP,18,8,0,0,9,18,3,0,55710,42659,37,16,9,3,2464
DIG,XDG,7,14,0,0,14,7,0,0,38254,57508,13,25,0,0,1928
LGD,UP,6,26,0,0,26,6,1,3,41054,58939,10,70,1,10,2435
MS,CWA,13,21,0,2,22,13,0,5,53174,68133,24,38,3,9,848
ALL,SK,17,14,1,0,14,17,3,2,71282,64470,37,29,9,5,594
WE,OMG,5,17,0,0,17,5,1,2,38671,54264,9,43,1,9,2436
CLG,C9,7,17,0,0,17,7,0,0,51711,65189,13,40,0,0,1929
WE,OMG,16,10,0,0,10,16,4,0,69778,59257,48,28,9,3,2436
EG,C9T,6,1,0,0,1,6,0,0,51373,39403,18,4,0,0,1953
MS,OG,10,13,0,1,13,11,0,5,53357,67241,18,32,3,11,849
DIG,C9,16,4,2,0,4,16,4,0,62509,46437,33,10,11,0,1966
Velocity Esports,CRS,2,20,0,0,20,2,0,0,46920,70475,2,45,0,0,1930
KNG,SS,5,17,0,0,17,5,1,3,45741,64582,12,39,1,11,2437
MIL,FNC,11,20,0,2,20,11,0,4,51767,70560,25,52,3,10,595
EG,C9T,20,3,0,0,3,20,0,0,75084,53424,37,6,0,0,1953
KNG,SS,1,13,0,0,13,1,0,3,29753,46083,3,27,1,7,2437
XDG,CST,15,15,0,0,15,15,0,0,72449,59343,21,27,0,0,1931
CST,CLB,15,14,0,0,14,15,0,0,89211,89991,27,28,0,0,1954
RNG,UP,23,23,0,0,24,23,4,2,93053,91121,61,68,8,10,2438
RG,CWA,19,8,0,1,8,19,3,2,58890,51298,58,24,9,5,850
C9,DIG,18,6,0,0,6,18,0,0,55889,41524,34,12,0,0,1932
RNG,UP,14,14,0,0,14,14,3,3,69232,74418,41,42,7,8,2438
CST,CLB,5,9,0,0,9,5,0,0,50734,68628,6,22,0,0,1954
CW,ROC,28,14,2,0,14,28,2,3,80882,63755,81,32,11,3,596
TSM,NME,18,10,1,0,10,18,4,0,61237,49415,39,8,8,2,1968
Velocity Esports,CLG,21,21,0,0,21,21,0,0,67428,66767,53,49,0,0,1933
LGD,M3,15,5,0,0,5,15,4,0,50346,38780,40,11,6,1,2439
DEU,G2,19,33,0,2,33,19,3,3,63330,80457,47,98,3,11,851
CST,CLB,17,1,0,0,1,17,0,0,55689,40538,36,2,0,0,1954
LGD,M3,8,22,0,0,22,8,1,5,63351,81628,21,68,3,10,2439
CRS,TSM,8,17,0,0,17,8,0,0,43319,54067,21,30,0,0,1934
GMB,MYM,7,13,0,1,13,7,2,3,59403,70734,17,35,4,10,597
CST,CLB,10,13,0,0,13,10,0,0,67818,74394,25,28,0,0,1954
IG,VG,19,5,0,0,5,19,1,2,51027,36522,37,11,4,2,2440
OG,MS,19,4,1,0,4,19,1,1,55385,36762,58,10,10,1,852
EG,CLB,26,12,0,0,12,26,0,0,78610,58545,71,24,0,0,1949
TDK,GV,11,16,0,1,16,11,3,2,62872,71072,23,40,4,10,1969
CST,C9,8,16,0,0,16,8,0,0,45738,58168,15,42,0,0,1935
IG,VG,27,10,0,0,10,27,2,0,46840,32810,59,19,6,1,2440
EG,CLB,24,12,0,0,12,25,0,0,72677,54699,67,26,0,0,1949
CWA,RG,22,17,2,0,17,22,1,4,76341,67291,42,39,11,8,853
M3,EP,11,7,0,0,7,11,3,3,71800,58100,21,12,9,3,2414
ALL,ROC,9,5,1,0,5,9,2,1,58339,44553,29,13,11,3,598
EG,CLB,21,5,0,0,5,21,0,0,48565,32288,49,11,0,0,1949
M3,EP,25,13,0,0,13,25,0,0,65100,49100,62,33,10,3,2414
XDG,TSM,34,25,0,0,25,34,0,0,76431,71314,86,65,0,0,1937
TSM,P1,17,8,2,0,8,17,4,1,73975,58711,37,23,11,4,1972
M3,EP,17,10,0,0,10,17,2,3,72500,56100,35,17,10,3,2414
CRS,CLG,21,10,0,0,10,21,0,0,58526,47598,48,29,0,0,1938
CST,C9T,13,1,0,0,1,13,0,0,45921,31681,25,1,0,0,1950
G2,DEU,21,12,2,0,12,21,2,1,65256,48616,43,19,9,1,854
CST,C9T,8,14,0,0,14,8,0,0,82636,81563,14,32,0,0,1950
CST,C9T,13,2,0,0,2,13,0,0,58486,47485,32,6,0,0,1950
WE,OMG,6,32,0,0,32,6,0,0,45833,66852,8,72,0,0,1022
DIG,TDK,18,5,2,1,5,18,2,3,82471,73272,46,14,11,6,1974
EDG,RYL,18,7,0,0,8,18,0,0,66447,52500,52,19,0,0,1023
NME,TL,5,22,0,2,22,5,0,3,41635,63170,8,44,1,9,1970
EDG,RYL,26,4,0,0,4,26,0,0,53157,34751,62,10,0,0,1023
SK,MIL,16,2,0,0,2,16,3,0,48582,31260,26,2,10,2,599
VG,SS,10,1,0,0,1,10,0,0,63195,45536,27,3,0,0,1024
VG,SS,25,9,0,0,9,25,0,0,51631,40569,57,24,0,0,1024
MYM,FNC,11,11,2,1,11,11,6,3,105328,94620,31,31,11,6,600
DIG,CLG,18,10,0,0,10,18,0,0,66274,52148,46,23,0,0,1940
RYL,Gamtee,10,24,0,0,24,10,2,2,50000,63100,24,71,2,7,2415
CW,GMB,19,20,1,1,20,19,1,6,77462,85837,60,48,6,9,601
CST,CRS,15,21,0,0,21,15,0,0,56567,65946,30,49,0,0,1941
C9,TSM,31,11,0,0,11,31,0,0,70781,49398,86,21,0,0,1942
RYL,Gamtee,8,11,0,0,11,8,2,2,40700,45600,20,39,6,8,2415
CLG,TSM,7,17,1,1,17,7,0,4,59497,71039,22,51,6,10,1977
GMB,SK,5,18,0,1,18,5,0,3,41421,60246,6,46,1,10,602
C9,GV,6,16,0,1,16,6,1,3,49346,63853,14,47,3,8,1971
CST,C9T,21,1,0,0,1,21,0,0,63173,43025,45,1,0,0,1950
MIL,CW,24,9,2,0,9,24,4,0,72235,55294,52,25,10,3,603
CRS,COG,7,19,0,0,19,7,0,0,67289,82661,18,50,0,0,1951
OMG,KNG,21,29,0,0,29,21,0,0,72905,79313,48,60,0,0,1025
KT,KDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361
CRS,COG,10,4,0,0,4,10,0,0,67253,52395,25,15,0,0,1951
EDG,M3,20,3,0,0,3,20,0,0,53261,38381,25,7,0,0,1026
MYM,ALL,4,18,0,2,18,4,0,4,57874,78739,7,38,4,11,604
KT,KDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361
EDG,M3,23,24,0,0,24,24,0,0,79086,77129,61,54,0,0,1026
KT,KDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361
WE,LGD,9,24,0,0,24,10,0,0,43634,57241,25,65,0,0,1027
T8,CLG,5,22,0,2,22,5,0,4,49970,67510,15,51,4,9,1973
WE,LGD,22,5,0,0,5,22,0,0,61685,45598,62,15,0,0,1027
CRS,COG,14,3,0,0,3,14,0,0,67943,49139,36,8,0,0,1951
CRS,COG,25,14,0,0,14,25,0,0,78296,67580,71,32,0,0,1951
FNC,ROC,16,12,1,1,12,16,3,2,72865,64497,45,30,10,4,605
CWA,OG,26,13,2,0,13,26,4,1,68688,57458,49,29,11,3,856
G2,MS,16,27,0,2,27,17,1,4,65167,77923,31,69,5,8,857
SK,FNC,4,27,0,2,27,4,1,5,64867,94887,12,72,4,11,606
C9,P1,8,15,0,2,15,8,2,3,53221,66414,24,42,3,9,1975
KDM,KTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362
DEU,RG,21,8,1,0,8,22,3,1,53790,36933,42,15,11,1,858
RYL,M3,24,12,0,0,12,24,0,0,77503,62565,70,32,0,0,928
CRS,DIG,19,6,0,0,6,19,0,0,51919,35835,50,11,0,0,1943
RYL,M3,33,14,0,0,14,33,0,0,70851,51234,74,29,0,0,928
CRS,DIG,6,19,0,0,19,6,0,0,47652,60419,12,40,0,0,1943
OG,CWA,31,10,2,0,10,31,2,2,73914,56418,82,24,8,9,859
MYM,MIL,8,19,0,1,19,8,3,2,54503,65071,16,49,4,8,608
CRS,DIG,13,17,0,0,17,13,0,0,61178,77237,32,39,0,0,1943
WE,SS,13,19,0,0,19,13,0,0,68295,70276,20,43,0,0,929
WE,SS,6,12,0,0,12,6,0,0,44197,55989,16,33,0,0,929
TSM,CLG,10,12,0,0,12,10,0,0,60554,54883,27,33,0,0,1944
IG,Gamtee,12,3,0,0,3,12,0,0,59859,47247,34,9,0,0,930
ALL,GMB,5,9,0,0,9,5,1,4,56122,66600,8,21,4,7,609
IG,Gamtee,15,8,0,0,8,15,0,0,62324,47359,33,16,0,0,930
OMG,VG,15,10,0,0,10,15,0,0,53770,42824,41,27,0,0,931
ROC,MYM,12,5,1,0,5,12,3,1,69695,55511,31,11,10,3,610
KDM,SKT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363
KDM,SKT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363
OMG,VG,17,25,0,0,25,17,0,0,73391,76882,37,67,0,0,931
KDM,SKT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363
M3,KNG,28,18,0,0,18,28,0,0,93454,92999,69,40,0,0,932
GMB,MIL,10,25,0,2,25,10,0,4,67985,83526,20,60,3,11,611
KDM,SKT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363
M3,KNG,22,10,0,0,10,22,0,0,60433,45188,53,19,0,0,932
SKP,RG,18,3,0,0,3,18,0,0,38089,25991,25,4,0,0,2328
OMG,EP,20,9,0,0,9,20,0,0,56567,41666,51,22,0,0,933
SKP,RG,29,16,0,0,16,29,0,0,66658,45372,55,22,0,0,2328
OMG,EP,32,16,0,0,16,32,0,0,67549,49274,70,38,0,0,933
G2d,UOL,26,15,0,0,15,26,0,0,99210,90771,82,37,0,0,2329
RYL,LGD,6,18,0,0,18,6,0,0,47174,60548,18,44,0,0,934
G2d,UOL,7,9,0,0,15,6,0,0,47721,34355,11,23,0,0,2329
G2d,UOL,15,6,0,0,13,7,0,0,64224,38210,30,27,0,0,2329
OG,RG,12,21,2,0,21,12,3,4,81635,79683,22,44,6,7,861
TDK,NME,15,16,0,3,16,15,3,3,72731,78670,43,36,4,10,1978
C9,DIG,16,6,0,0,6,16,0,0,52451,41407,42,13,0,0,1945
NIP,SKP,16,28,0,0,28,16,0,0,57763,73477,43,63,0,0,2330
C9,DIG,16,6,0,0,6,16,0,0,55943,34031,31,16,0,0,1945
OG,RG,8,2,1,0,2,8,4,0,53815,42198,23,4,10,2,861
NIP,SKP,16,4,0,0,4,16,0,0,62587,46756,42,3,0,0,2330
XDG,TSM,9,20,0,0,20,9,0,0,38679,55314,22,50,0,0,1946
OG,RG,13,12,1,0,12,13,3,3,71722,66246,31,23,10,5,861
NME,T8,11,14,0,2,14,11,3,2,57746,64164,33,44,4,8,1980
SS,EP,25,7,0,0,7,25,0,0,69985,51334,63,11,0,0,1028
NIP,SKP,13,21,0,0,21,13,0,0,58457,76377,30,51,0,0,2330
H2K,UOL,4,12,0,0,12,4,0,0,33916,48774,11,28,0,0,2331
EDG,Gamtee,20,14,2,0,14,20,5,1,85356,68899,64,37,4,11,1029
CWA,G2,14,6,1,0,6,14,2,1,49949,40412,22,10,9,3,862
H2K,UOL,24,6,0,0,6,24,0,0,64567,42656,57,15,0,0,2331
EDG,Gamtee,32,13,1,1,13,32,4,1,67807,54139,86,28,6,7,1029
H2K,UOL,25,16,0,0,16,25,0,0,88433,76496,61,33,0,0,2331
CWA,G2,32,16,1,0,16,32,4,0,59265,42584,68,25,10,2,862
RYL,WE,22,24,0,0,24,23,0,0,65635,75241,59,67,0,0,1030
H2K,SKP,24,11,0,0,11,24,0,0,65246,47052,46,27,0,0,2332
RYL,WE,17,24,0,0,24,18,0,0,51662,64508,34,55,0,0,1030
OG,CWA,20,3,1,0,3,20,3,1,58067,47501,40,4,11,5,863
H2K,SKP,19,6,0,0,6,19,0,0,67118,58109,50,15,0,0,2332
TSM,DIG,16,14,0,2,14,16,2,2,72419,68754,33,32,7,7,1981
H2K,SKP,8,23,0,0,23,8,0,0,53328,79591,21,73,0,0,2332
OG,CWA,20,4,0,0,4,20,3,0,44719,34220,55,7,7,3,863
H2K,SKP,9,19,0,0,19,9,0,0,46380,62927,16,48,0,0,2332
H2K,SKP,34,14,0,0,14,34,0,0,73308,53187,93,43,0,0,2332
OG,CWA,32,10,1,0,10,32,3,1,59744,41689,61,23,11,3,863
OMG,IG,4,13,0,0,13,4,0,0,51923,58766,4,32,0,0,1031
NIP,UOL,1,14,0,0,14,1,0,0,28300,47168,3,32,0,0,2333
RYL,LGD,11,22,0,0,22,11,0,0,53422,67514,26,63,0,0,934
NIP,UOL,11,23,0,0,23,11,0,0,34829,52876,24,59,0,0,2333
RG,G2,15,5,1,0,5,15,4,1,63007,51626,38,11,11,4,864
XDG,TSM,13,26,0,0,26,13,0,0,51840,60924,26,69,0,0,1946
NIP,UOL,7,30,0,0,30,8,0,0,40661,59471,13,70,0,0,2333
RG,G2,11,21,0,1,21,11,2,2,46949,54834,18,39,3,7,864
RG,G2,21,22,0,2,22,21,1,4,75181,78204,63,54,8,9,864
KDM,SKT,28,6,1,0,6,28,4,0,63835,47504,63,14,10,4,865
KDM,SKT,1,15,0,1,15,1,1,2,46347,63981,0,36,2,10,865
DoubleBuff,Azure Cats,3,9,0,0,12,3,0,0,27591,38591,9,22,0,0,1820
CW,SK,11,17,0,2,17,11,1,3,51787,71731,20,38,1,10,613
EDG,VG,22,12,0,0,12,22,0,0,53280,41139,38,20,0,0,935
KDM,SKT,6,22,0,1,22,7,0,3,38886,57584,11,34,1,8,865
SK,ALL,3,15,0,3,15,3,0,6,55875,78504,8,39,4,8,614
TSM,C9,10,29,0,0,29,10,0,0,44944,60140,19,69,0,0,1947
OMG,EP,13,28,0,0,28,13,0,0,66857,78184,26,81,0,0,1032
TSM,C9,8,24,0,0,24,8,0,0,39615,51758,12,56,0,0,1947
OMG,EP,18,8,0,0,8,18,0,0,47615,36156,44,13,0,0,1032
XDG,DIG,31,12,0,0,12,31,0,0,78268,54872,74,23,0,0,1948
KNG,LGD,6,20,0,0,20,6,0,0,48650,64013,10,64,0,0,1033
KNG,LGD,34,11,0,0,11,34,0,0,73195,59697,81,27,0,0,1033
ROX,IMiracle,26,10,1,1,10,26,3,1,75740,61947,65,22,11,4,866
XDG,DIG,22,12,0,0,12,22,0,0,56783,40413,33,22,0,0,1948
DNE,CSG,19,15,0,0,15,20,0,0,62911,57797,44,40,0,0,2322
EDG,VG,28,19,0,0,19,28,0,0,64285,53280,64,49,0,0,935
CST,TSM,6,18,0,0,18,6,0,0,38603,55636,18,47,0,0,1831
RYL,VG,2,16,0,0,16,2,0,0,38555,60299,4,42,0,0,1034
CRS,XDG,6,17,0,0,17,6,0,0,48362,58715,14,45,0,0,1832
MYM,CW,23,14,1,1,14,23,1,4,80135,70831,62,35,9,7,615
C9,Team Astral Poke,12,1,0,0,1,12,0,0,37025,23080,28,2,0,0,1821
RG,MS,13,11,0,0,11,13,0,0,63231,55097,31,25,0,0,2323
C9,Team Astral Poke,21,3,0,0,3,21,0,0,39947,23335,37,5,0,0,1821
DIG,C9,8,13,0,0,13,8,0,0,39108,48702,17,18,0,0,1833
ROX,IMiracle,19,11,1,0,12,19,3,0,69539,55602,47,32,8,2,866
RG,MS,16,25,0,0,25,16,0,0,64605,77253,36,65,0,0,2323
IG,EP,20,3,0,0,3,21,0,0,72417,51249,66,8,0,0,936
CLG,Velocity Esports,6,17,0,0,17,6,0,0,45533,62723,10,44,0,0,1834
RG,MS,11,6,0,0,6,11,0,0,44451,33701,22,7,0,0,2323
TSM,C9,10,17,0,0,17,10,0,0,56380,62665,23,50,0,0,1835
IG,EP,20,11,0,0,11,20,0,0,77765,63353,58,26,0,0,936
H2K,DNE,16,2,0,0,2,16,0,0,50682,31679,25,3,0,0,2324
CST,XDG,17,7,0,0,7,17,0,0,53501,35042,37,19,0,0,1836
Team Summon,Fidelis,28,9,0,0,10,28,0,0,60942,44323,73,22,0,0,1822
SSG,JAG,11,25,0,1,25,11,1,5,60535,81051,31,73,3,10,867
H2K,DNE,14,27,0,0,27,14,0,0,71768,76043,32,61,0,0,2324
CRS,Velocity Esports,24,12,0,0,12,24,0,0,57560,43531,49,30,0,0,1837
OMG,RYL,17,7,0,0,7,17,0,0,60408,47509,48,16,0,0,937
CLG,DIG,37,32,0,0,32,37,0,0,113986,104782,108,97,0,0,1838
OMG,RYL,17,6,0,0,6,17,0,0,68982,47217,39,14,0,0,937
H2K,DNE,27,16,0,0,16,27,0,0,71914,51600,53,40,0,0,2324
NIP,RG,9,0,0,0,0,9,0,0,62619,39311,16,0,0,0,2325
