teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
CST,CLG,10,18,0,0,18,10,0,0,40494,54044,34,52,0,0,28
DIG,CST,7,3,0,0,3,7,0,0,50250,31883,18,5,0,0,50
CRS,COW,20,4,0,0,4,20,0,0,44897,29662,43,8,0,0,29
CLG,GV,16,7,1,0,7,17,2,2,65078,50994,38,26,14,4,383
MYM,MIL,17,10,2,1,10,17,3,3,84222,72150,38,25,9,3,681
CLG,Team MRN,11,19,0,0,19,11,0,0,58203,76812,24,54,0,0,32
XDG,COW,28,16,0,0,16,28,0,0,70017,56577,72,53,0,0,34
T8,WFX,18,3,1,0,3,18,3,0,57991,38946,39,8,11,2,385
Team MRN,TSM,16,10,0,0,10,16,0,0,63086,50881,43,25,0,0,36
FNC,ROC,22,11,1,1,11,22,3,1,74318,56948,54,27,10,4,682
CST,Team MRN,9,18,0,0,18,9,0,0,46082,57914,21,44,0,0,39
TSM,DIG,16,19,0,4,20,16,5,3,99703,101322,44,51,11,7,351
JAG,SSG,21,12,3,1,12,21,3,4,96693,88518,56,32,9,7,894
CST,CLG,8,16,0,1,16,8,3,2,63986,73752,18,39,4,10,387
TSM,DIG,16,7,0,2,7,16,4,3,89069,79815,56,8,10,5,351
TSM,DIG,16,4,1,0,4,16,4,0,64859,46641,41,4,11,3,351
JAG,SSG,20,12,2,1,12,20,5,3,97341,90469,47,30,9,8,894
MYM,CW,20,7,1,1,7,20,4,1,82230,60858,46,13,10,2,683
WFX,P1,30,12,0,0,12,30,4,1,75543,63818,85,36,8,3,388
DIG,C9,1,7,0,1,7,1,2,1,31963,47486,3,19,1,9,389
T8,TL,3,18,0,2,18,3,1,3,46059,65959,9,45,2,11,390
TSM,CLG,14,6,1,0,6,14,2,2,62996,52819,44,18,11,4,234
COW,TSM,10,15,0,0,15,10,0,0,52402,66061,21,40,0,0,53
WFX,C9,16,8,1,0,8,16,2,2,63509,53082,47,16,9,3,392
P1,CST,24,11,1,1,11,24,2,3,75780,60143,51,29,11,5,393
IMiracle,ROX,12,23,1,1,23,12,2,4,71877,88395,27,54,2,10,895
GV,TL,24,11,2,0,11,24,4,2,86848,68822,57,32,16,4,395
XDG,CST,13,20,0,0,20,13,0,0,56022,74146,36,62,0,0,44
COW,DIG,15,11,0,0,11,15,0,0,54964,46417,37,17,0,0,46
TSM,LMQ,15,4,1,0,4,15,3,0,55522,39919,41,6,9,2,353
CRS,CLG,12,7,0,0,7,12,0,0,56399,44878,29,12,0,0,47
XDG,Team MRN,21,4,0,0,4,21,0,0,51076,32403,55,13,0,0,48
CRS,TSM,28,7,0,0,7,28,0,0,51029,33546,92,22,0,0,49
COW,XDG,24,21,0,0,21,24,0,0,77211,80204,73,56,0,0,51
DIG,Team MRN,28,17,0,0,17,28,0,0,70154,56183,77,58,0,0,57
Team MRN,CLG,11,19,0,0,19,11,0,0,52906,61101,31,59,0,0,52
TSM,COW,24,22,0,0,22,24,0,0,75671,73398,63,53,0,0,58
XDG,DIG,23,17,0,0,17,23,0,0,95900,88033,67,38,0,0,54
CLG,CST,13,25,0,0,25,13,0,0,52893,66217,31,69,0,0,55
Team MRN,CRS,2,16,0,0,16,2,0,0,32098,52677,4,37,0,0,56
GMB,SK,30,6,1,0,6,30,5,0,73295,50435,56,6,8,2,685
Team MRN,COW,19,1,0,0,1,19,0,0,51871,31039,45,4,0,0,62
XDG,CLG,15,11,0,0,11,15,0,0,78162,83167,42,36,0,0,63
CRS,DIG,19,4,0,0,4,19,0,0,55854,44504,49,11,0,0,66
CST,XDG,23,15,0,0,15,23,0,0,62198,52529,74,31,0,0,67
DIG,CST,20,11,2,0,11,20,5,1,81753,59344,62,27,10,6,237
CLG,DIG,2,17,0,0,17,2,0,0,35391,53822,6,35,0,0,59
TSM,Team MRN,22,6,0,0,6,22,0,0,59200,41794,55,20,0,0,60
COW,Team MRN,28,13,0,0,13,28,0,0,74043,53205,80,35,0,0,68
CLG,CRS,24,4,0,0,4,24,0,0,54002,37421,79,12,0,0,70
TL,WFX,7,10,1,0,10,7,3,2,58569,63019,10,29,5,9,397
Team MRN,XDG,17,5,0,0,5,17,0,0,52136,38336,45,12,0,0,71
COW,CST,15,20,0,0,20,15,0,0,66009,71342,35,47,0,0,72
CJE,SKT,7,15,0,1,15,7,0,4,52810,68486,24,42,3,9,896
CLG,COW,26,19,0,0,19,26,0,0,64233,64478,68,42,0,0,74
XDG,CRS,5,22,0,0,22,5,0,0,40002,56165,7,49,0,0,76
T8,GV,13,20,0,1,20,13,2,5,71348,81517,39,59,7,9,398
GMB,CW,19,10,2,0,10,19,6,0,84849,64044,53,26,11,3,686
COW,CLG,27,14,0,0,14,27,0,0,73701,60633,70,26,0,0,77
CST,CRS,14,22,0,0,22,14,0,0,62419,69004,24,59,0,0,78
XDG,TSM,18,7,0,0,7,18,0,0,55617,40243,54,13,0,0,79
Team MRN,COW,25,17,0,0,17,25,0,0,85512,79101,63,41,0,0,80
XDG,COW,14,29,0,0,29,14,0,0,49726,63117,31,72,0,0,82
