scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
1786,EDG,LGD,1,1,CN,CN
1780,EDG,RYL,0,2,CN,CN
1776,EDG,WEA,2,0,CN,CN
1771,EDG,Young Glory,0,2,CN,CN
1770,EDG,IG,1,1,CN,CN
1760,EDG,WE,1,1,CN,CN
1758,EDG,LGD,2,0,CN,CN
1752,EDG,RYL,1,1,CN,CN
1748,EDG,WEA,2,0,CN,CN
1743,EDG,Young Glory,2,0,CN,CN
1740,EDG,IG,1,1,CN,CN
1731,IG,EDG,0,3,CN,CN
1730,EDG,WE,2,1,CN,CN
1728,WE,EDG,1,1,CN,CN
1723,RYL,EDG,0,2,CN,CN
1717,Positive Energy,EDG,1,1,CN,CN
1711,EDG,EP,2,0,CN,
1705,EDG,LGD,2,0,CN,CN
1701,IG,EDG,0,2,CN,CN
1700,WE,EDG,0,2,CN,CN
1695,RYL,EDG,0,2,CN,CN
1689,Positive Energy,EDG,0,2,CN,CN
1683,EDG,EP,2,0,CN,
1677,EDG,LGD,1,1,CN,CN
1673,IG,EDG,0,2,CN,CN
12677,KNG,EDG,0,2,CN,CN
2342,TBS,SKP,1,2,EU,EU
2335,AT,SKP,0,2,EU,EU
2186,GMB,SKP,3,1,RU,EU
1599,SKP,NIP-2,2,1,EU,EU
1594,4EZ,SKP,0,2,EU,EU
1583,INV,SKP,0,1,EU,EU
1524,NIP-2,SKP,2,1,EU,EU
1521,BZ,SKP,0,1,EU,EU
1544,CCC,SKP,0,1,EU,EU
1582,GNW,SKP,0,1,EU,EU
23500,SPY,OG,2,0,EU,EU
23495,VIT,OG,2,0,EU,EU
23486,OG,MSF,0,2,EU,EU
23480,FNC,OG,2,0,EU,EU
23474,G2,OG,2,0,EU,EU
23467,OG,SPY,0,2,EU,EU
23461,VIT,OG,2,0,EU,EU
17172,OG,SPY,0,2,EU,EU
17168,OG,FNC,1,1,EU,EU
17144,OG,VIT,0,2,EU,EU
17138,G2,OG,1,1,EU,EU
17126,SPY,OG,1,1,EU,EU
17120,FNC,OG,1,1,EU,EU
17032,VIT,OG,1,1,EU,EU
17019,OG,G2,0,2,EU,EU
14965,OG,G2,1,3,EU,EU
13769,OG,FNC,1,0,EU,EU
14353,TSM,OG,2,1,US,EU
14352,OG,RNG,0,1,EU,CN
13747,OG,G2,0,1,EU,EU
13745,SPY,OG,0,1,EU,EU
13727,OG,VIT,0,1,EU,EU
13724,OG,SPY,1,0,EU,EU
13714,G2,OG,1,0,EU,EU
13697,VIT,OG,1,0,EU,EU
13683,FNC,OG,1,0,EU,EU
12900,OG,TSM,2,0,EU,US
12650,OG,SKT,0,3,EU,KR
12648,FW,OG,1,3,TW,EU
12469,KT,OG,1,0,KR,EU
12467,LGD,OG,1,0,CN,EU
12465,TSM,OG,0,1,US,EU
12436,KT,OG,0,1,KR,EU
12427,TSM,OG,0,1,US,EU
12426,LGD,OG,0,1,CN,EU
12083,FNC,OG,3,2,EU,EU
2263,GMB,OG,1,0,RU,EU
2257,FNC,OG,1,0,EU,EU
2232,OG,GMB,1,0,EU,RU
2222,OG,FNC,0,1,EU,EU
846,OG,DEU,1,0,EU,
843,DEU,OG,0,1,,EU
836,G2,OG,0,1,EU,EU
833,OG,G2,1,0,EU,EU
2345,MSP,OG,1,2,EU,EU
2341,SIN,OG,0,2,EU,EU
22933,LZ,KDM,1,2,KR,KR
22929,KDM,BBQ,1,2,KR,KR
22928,KT,KDM,1,2,KR,KR
22923,JAG,KDM,2,1,KR,KR
22913,KDM,SSG,0,2,KR,KR
22906,KDM,MVP,0,2,KR,KR
22895,SKT,KDM,2,0,KR,KR
22889,KDM,ROX,1,2,KR,KR
22859,AFS,KDM,2,1,KR,KR
22851,KDM,AFS,0,2,KR,KR
25588,KDM,G2,1,2,KR,EU
22847,KDM,KT,0,2,KR,KR
22842,KDM,JAG,2,1,KR,KR
22834,MVP,KDM,2,1,KR,KR
