scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
2386,SBE,IMiracle,0,2,KR,KR
2385,IMiracle,KT,1,2,KR,KR
2376,Anarchy,IMiracle,1,2,,KR
2369,JAG,IMiracle,2,0,KR,KR
1668,IMiracle,Anarchy,2,0,KR,
1667,IMiracle,WIN,2,0,KR,KR
918,CJE,IMiracle,2,0,KR,KR
915,IMiracle,KT,0,2,KR,KR
908,JAG,IMiracle,2,0,KR,KR
905,SKT,IMiracle,2,0,KR,KR
902,IMiracle,SSG,1,2,KR,KR
895,IMiracle,ROX,0,2,KR,KR
889,IMiracle,CJE,1,2,KR,KR
888,KT,IMiracle,0,2,KR,KR
880,IMiracle,JAG,2,1,KR,KR
876,IMiracle,SKT,0,2,KR,KR
873,SSG,IMiracle,0,2,KR,KR
866,ROX,IMiracle,2,0,KR,KR
1638,IMiracle,IM1,2,0,KR,KR
