teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
FNC,SK,6,12,0,0,12,6,0,0,76500,88900,14,25,0,0,0,1,EU,EU,2118,2013-07-15
C9,CST,9,19,0,2,19,9,3,2,66040,66739,13,29,8,7,1,0,US,US,229,2014-04-07
C9,XDG,18,3,1,0,3,18,3,0,54749,37864,52,7,10,3,1,0,US,US,151,2014-02-09
TDK,NME,15,16,0,3,16,15,3,3,72731,78670,43,36,4,10,0,1,US,US,1978,2015-06-08
ROC,CW,7,17,0,1,17,7,1,4,60078,72336,16,42,4,9,0,1,EU,DK,739,2015-02-20
CLG,CLB,17,22,0,4,22,17,2,6,88085,107045,42,64,7,11,0,1,US,US,343,2014-08-03
ALL,FNC,13,6,2,0,6,13,3,1,64191,53404,40,14,10,4,1,0,EU,EU,584,2014-05-22
CW,H2K,18,12,1,0,12,18,4,2,80464,71496,53,32,9,6,1,0,DK,EU,701,2015-01-23
COW,CLG,27,14,0,0,14,27,0,0,73701,60633,70,26,0,0,1,0,US,US,77,2013-04-05
FNC,CW,16,7,1,1,7,16,1,4,69214,59144,39,20,10,3,1,0,EU,DK,542,2014-03-22
Ex Nihilo,CK,12,24,1,1,24,12,4,2,73653,78938,33,65,8,7,2,0,EU,EU,2357,2015-06-04
CST,CRS,14,22,0,0,22,14,0,0,62419,69004,24,59,0,0,0,1,US,US,78,2013-04-05
XDG,EG,9,28,0,3,28,9,1,5,60293,90099,11,63,1,11,0,1,US,US,230,2014-04-07
SKT,FNC,16,26,1,1,26,16,4,2,75017,73990,52,65,9,5,1,0,KR,EU,1813,2015-05-09
CRS,DIG,19,13,1,0,13,19,2,3,69686,62552,43,25,8,3,1,0,US,US,154,2014-02-09
S04,GIA,22,10,0,1,10,22,4,0,72415,65553,41,23,7,8,0,1,EU,EU,740,2015-02-20
SK,ROC,16,4,2,0,4,16,4,1,68544,51386,44,6,9,2,1,0,EU,EU,702,2015-01-23
CLG,EG,19,6,1,0,6,19,1,2,56431,41367,47,13,9,1,1,0,US,US,155,2014-02-10
DIG,T8,27,15,1,0,15,27,2,3,70458,58026,68,32,9,6,1,0,US,US,396,2015-02-16
XDG,TSM,18,7,0,0,7,18,0,0,55617,40243,54,13,0,0,1,0,US,US,79,2013-04-05
EDG,M3,25,10,0,0,10,25,4,0,62411,43510,53,17,10,1,2,0,CN,CN,2453,2015-06-12
Team MRN,COW,25,17,0,0,17,25,0,0,85512,79101,63,41,0,0,1,0,US,US,80,2013-04-05
UOL,GMB,11,28,0,1,28,11,1,3,53299,62215,23,62,5,9,0,1,EU,RU,782,2015-03-27
C9,CST,17,4,1,0,4,17,3,1,64308,47029,48,9,10,3,1,0,US,US,157,2014-02-10
TSM,C9,2,12,0,1,12,2,0,4,49561,71440,4,24,3,10,0,1,US,US,344,2014-08-03
ROC,SK,3,8,0,1,8,3,0,2,32000,43480,5,15,2,7,0,1,EU,EU,509,2014-02-22
XDG,COW,14,29,0,0,29,14,0,0,49726,63117,31,72,0,0,0,1,US,US,82,2013-04-06
GMB,UOL,7,18,0,0,18,7,0,3,36489,48932,14,46,2,9,0,1,RU,EU,703,2015-01-23
XDG,TSM,9,20,0,0,20,9,0,0,38679,55314,22,50,0,0,0,2,US,US,1946,2013-09-01
MIL,CW,7,14,0,1,14,7,2,2,52137,64987,13,25,2,8,0,1,EU,DK,543,2014-03-28
CLG,DIG,18,3,1,0,3,18,2,1,57198,41478,48,2,10,3,1,0,US,US,292,2014-06-30
DIG,CLG,5,14,0,1,14,5,1,3,45936,63273,14,42,2,11,0,1,US,US,400,2015-02-22
XDG,DIG,21,9,2,0,9,21,4,3,86569,72452,58,11,9,5,1,0,US,US,158,2014-02-10
M3,KNG,25,8,0,0,8,25,4,0,65257,48573,64,17,9,1,2,0,CN,CN,2425,2015-05-24
TSM,CLG,15,2,2,0,2,15,3,1,70609,52465,48,5,9,3,1,0,US,US,286,2014-06-29
FNC,SK,29,14,2,1,14,29,4,2,82591,66526,67,40,10,4,1,0,EU,EU,741,2015-02-20
MYM,SK,9,10,0,0,10,9,0,5,54673,62133,18,24,4,8,0,1,PL,EU,704,2015-01-24
NME,T8,11,14,0,2,14,11,3,2,57746,64164,33,44,4,8,0,1,US,US,1980,2015-06-14
CLG,TSM,5,18,0,0,18,6,0,0,28912,38957,11,35,0,0,0,1,US,US,61,2013-03-23
FNC,CW,23,3,1,0,3,23,2,0,58037,35527,44,6,9,0,1,0,EU,DK,586,2014-05-23
CLG,TSM,13,27,1,1,27,13,0,5,61733,81418,28,69,4,10,0,1,US,US,166,2014-02-17
CLG,C9,28,7,1,0,7,28,4,0,68201,47736,64,14,8,3,1,0,US,US,159,2014-02-16
TSM,CLB,20,7,1,0,7,20,2,1,61384,43126,45,13,10,1,1,0,US,US,246,2014-05-25
SS,EP,25,7,0,0,7,25,0,0,69985,51334,63,11,0,0,2,0,CN,,1028,2015-03-22
Team MRN,CST,10,22,0,0,22,10,0,0,45022,57860,22,72,0,0,0,1,US,US,83,2013-04-06
CRS,CLB,20,12,3,0,12,20,3,4,100223,95176,53,31,10,9,1,0,US,US,293,2014-06-30
GIA,CW,18,5,1,1,5,19,4,1,66039,51794,34,12,9,1,1,0,EU,DK,705,2015-01-24
CRS,XDG,14,6,0,0,6,14,0,0,57382,43033,38,15,0,0,1,0,US,US,84,2013-04-06
FNC,SK,23,2,0,0,2,23,3,0,58241,38924,50,1,10,1,1,0,EU,EU,462,2014-01-16
SK,MYM,20,12,2,0,12,20,5,0,67497,58019,61,33,8,4,1,0,EU,PL,783,2015-03-27
DIG,COW,30,18,0,0,18,30,0,0,73321,59125,61,50,0,0,1,0,US,US,64,2013-03-23
ROC,GMB,19,13,1,1,13,20,3,2,76114,65018,46,30,9,7,1,0,EU,RU,706,2015-01-24
MIL,GMB,20,6,1,0,6,20,3,0,63444,43286,32,6,11,2,1,0,EU,RU,587,2014-05-23
DIG,LMQ,19,7,1,0,7,19,4,1,67706,46140,43,19,10,0,1,0,US,US,289,2014-06-29
EG,CRS,33,21,0,0,21,33,2,2,70606,56394,89,48,9,2,1,0,US,US,160,2014-02-16
CWA,G2,14,6,1,0,6,14,2,1,49949,40412,22,10,9,3,2,0,DK,EU,862,2015-04-01
LMQ,C9,11,19,1,0,19,11,2,3,57761,63416,26,44,7,7,0,1,US,US,294,2014-07-05
C9,CLG,15,11,2,0,11,15,3,3,73204,66067,46,35,10,5,1,0,US,US,402,2015-02-23
MIL,GMB,7,13,0,1,13,7,0,3,44371,61799,11,40,1,9,0,1,EU,RU,463,2014-01-16
CLG,NME,19,15,3,0,15,19,3,4,84247,74378,53,36,10,7,1,0,US,US,1989,2015-06-15
F5,NME,7,12,0,1,12,7,0,4,48638,60633,10,26,3,11,0,1,US,US,820,2015-03-25
CLB,DIG,3,23,0,1,23,3,1,3,41206,63514,5,48,3,10,0,1,US,US,241,2014-05-24
TSM,CLG,13,6,0,0,6,13,0,0,58418,49269,34,14,0,0,1,0,US,US,65,2013-03-31
Team ALTERNATE,Lemondogs,25,7,0,0,8,25,0,0,48800,34900,61,16,0,0,1,0,PL,EU,2068,2013-06-16
TL,TSM,23,21,2,0,21,23,7,0,91351,89390,48,61,11,3,1,0,US,US,403,2015-02-23
TSM,CST,10,2,1,0,2,10,2,0,42429,30944,21,4,7,2,1,0,US,US,401,2015-02-22
CLB,CLG,6,14,0,2,14,6,1,3,52099,63745,7,30,4,8,0,1,US,US,295,2014-07-05
CRS,Team MRN,20,3,0,0,3,20,0,0,54770,36005,54,11,0,0,1,0,US,US,85,2013-04-12
MS,Ex Nihilo,17,14,2,0,14,17,3,2,70673,63209,48,29,7,3,2,0,EU,EU,2360,2015-06-11
TSM,DIG,17,4,0,0,4,17,0,0,52376,33688,40,9,0,0,1,0,US,US,6,2013-02-09
DIG,CLG,1,7,0,0,7,1,0,0,30641,45256,1,20,0,0,0,1,US,US,86,2013-04-12
DIG,EG,16,15,2,1,15,16,4,2,83842,73665,31,33,9,6,1,0,US,US,245,2014-05-25
S04,GIA,10,30,0,2,30,10,0,3,54214,74783,24,80,3,10,0,1,EU,EU,2200,2015-06-05
CST,T8,9,20,0,1,20,9,1,2,46716,62016,22,45,3,11,0,1,US,US,405,2015-02-23
CLG,C9,23,9,2,0,9,23,4,0,75331,54738,62,21,10,3,1,0,US,US,297,2014-07-05
ROC,FNC,11,11,1,1,11,11,4,1,76038,74768,24,35,8,8,0,1,EU,EU,588,2014-05-23
DIG,TSM,3,19,0,1,19,3,0,2,29375,46217,8,33,1,9,0,1,US,US,127,2014-01-19
CST,XDG,24,14,2,0,14,24,3,1,74683,57801,33,29,11,3,1,0,US,US,161,2014-02-16
TSM,CRS,12,4,1,0,4,12,2,1,51869,40273,36,11,8,1,1,0,US,US,172,2014-02-24
EG,LMQ,23,15,0,0,15,23,1,2,56393,44954,44,24,9,3,1,0,US,US,345,2014-08-04
SS,Gamtee,17,6,0,0,6,17,0,0,64337,45571,39,13,0,0,2,0,CN,CN,925,2015-01-16
XDG,DIG,8,25,0,0,25,8,0,0,42495,60646,24,63,0,0,0,1,US,US,8,2013-02-09
SK,GMB,21,15,1,0,15,21,2,1,66764,55218,51,32,11,2,1,0,EU,RU,544,2014-03-28
UOL,S04,6,14,0,2,14,6,1,3,46398,59426,12,27,5,11,0,1,EU,EU,708,2015-01-24
OMG,Newbee,26,11,0,0,11,26,3,2,82411,66828,84,21,9,3,1,1,CN,CN,2426,2015-05-24
COW,CRS,17,23,0,0,23,17,0,0,65916,70164,38,63,0,0,0,1,US,US,87,2013-04-12
XDG,CRS,8,19,0,1,19,8,2,2,61453,72919,21,40,5,9,0,1,US,US,163,2014-02-17
TDK,CLB,32,8,1,1,8,32,3,1,67786,50066,65,16,11,2,1,0,US,US,821,2015-03-25
CST,Team MRN,16,8,0,0,8,16,0,0,47494,43289,47,19,0,0,1,0,US,US,88,2013-04-12
TSM,EDG,9,27,0,1,28,9,0,3,35950,52150,14,52,0,11,0,1,US,CN,1814,2015-05-09
C9,DIG,24,7,1,0,7,24,2,2,60578,45028,41,13,9,3,1,0,US,US,164,2014-02-17
NIP,Team ALTERNATE,22,8,0,0,8,22,0,0,61100,46400,53,21,0,0,1,0,EU,PL,2168,2013-08-17
P1,GV,14,5,0,0,5,14,3,0,53115,38082,45,12,10,0,1,0,US,US,406,2015-02-23
CRS,TSM,19,5,1,0,5,19,4,0,61775,45527,39,11,8,4,1,0,US,US,346,2014-08-04
EG,CST,9,18,0,4,18,9,2,3,76343,93642,21,32,8,11,0,1,US,US,165,2014-02-17
CRS,TSM,19,15,0,0,15,19,0,0,62493,58039,53,42,0,0,1,0,US,US,1865,2013-06-30
H2K,MYM,18,7,0,0,7,18,3,0,54456,39706,47,14,9,1,1,0,EU,PL,709,2015-01-30
ROC,ALL,10,9,0,2,9,10,1,4,60522,72231,25,23,3,10,0,1,EU,EU,545,2014-03-28
DIG,EG,2,18,0,1,18,2,0,3,38067,58937,3,28,1,11,0,1,US,US,167,2014-02-23
CST,DIG,20,15,0,0,15,20,0,0,61694,58494,55,32,0,0,1,0,US,US,89,2013-04-13
MYM,FNC,7,18,0,2,18,7,2,2,53427,68915,24,39,1,10,0,1,PL,EU,546,2014-03-28
UOL,GIA,24,5,1,0,5,24,3,0,58914,38462,61,8,11,0,1,0,EU,EU,710,2015-01-30
CLG,P1,10,20,0,1,20,10,1,4,48570,61157,27,36,2,11,0,1,US,US,443,2015-03-30
FNC,BJK,25,4,1,0,4,25,2,1,51704,32266,46,5,11,0,1,0,EU,TR,1815,2015-05-09
FNC,ROC,17,14,3,1,15,17,2,4,87645,79121,48,31,9,6,1,0,EU,EU,711,2015-01-30
MYM,SK,13,18,0,2,18,13,5,1,75848,79648,38,46,9,10,0,1,PL,EU,589,2014-05-23
CLG,XDG,8,10,0,0,10,8,0,0,42709,48792,11,32,0,0,0,1,US,US,1915,2013-08-02
SK,GMB,15,5,2,0,5,15,4,0,71598,50056,39,12,9,2,1,0,EU,RU,712,2015-01-30
SK,ALL,8,22,0,2,22,8,0,5,64679,84555,13,46,4,9,0,1,EU,EU,547,2014-03-29
DRK,BWL,14,23,1,1,23,14,1,3,64853,71800,29,72,6,11,2,1,US,US,2293,2015-01-21
CST,Velocity Esports,24,12,0,0,12,24,0,0,71892,58303,56,30,0,0,1,0,US,US,1866,2013-06-30
CRS,C9,9,18,0,2,18,9,1,4,50370,67514,21,45,2,8,0,1,US,US,169,2014-02-23
CST,Velocity Esports,7,25,0,0,25,8,0,0,40207,56690,19,82,0,0,0,1,US,US,1916,2013-08-02
CLG,XDG,20,4,1,0,4,20,1,1,45532,30433,43,7,7,1,1,0,US,US,170,2014-02-23
TSM,DIG,16,14,0,2,14,16,2,2,72419,68754,33,32,7,7,0,1,US,US,1981,2015-06-14
CRS,C9,5,15,0,0,15,5,0,0,34515,51049,6,34,0,0,0,1,US,US,1917,2013-08-03
C9,TSM,15,10,1,0,10,15,0,5,69895,68810,52,23,8,7,1,0,US,US,1960,2015-05-31
MYM,GMB,12,10,2,1,10,12,3,3,87964,87087,27,25,11,5,1,0,PL,RU,548,2014-03-29
MYM,SK,21,10,0,1,10,21,4,4,98438,91643,58,31,10,7,1,0,PL,EU,637,2014-07-03
XDG,C9,34,19,0,0,19,34,0,0,69405,68931,92,46,0,0,1,0,US,US,1867,2013-07-01
FNC,MIL,17,9,2,0,9,17,2,2,75402,56063,38,13,10,3,1,0,EU,EU,549,2014-03-29
TSM,DIG,22,26,0,0,26,22,0,0,68110,75339,64,74,0,0,0,1,US,US,1918,2013-08-03
XDG,CRS,18,6,0,0,6,18,0,0,60541,40929,43,15,0,0,1,0,US,US,1919,2013-08-03
DIG,Team MRN,18,3,0,0,3,18,0,0,46716,28381,48,5,0,0,1,0,US,US,9,2013-02-15
WE,EP,17,6,0,0,7,17,0,0,48421,33941,40,16,0,0,2,0,CN,,1041,2015-04-05
CW,SK,12,17,1,2,17,12,4,3,87780,93382,29,47,10,9,0,1,DK,EU,464,2014-01-16
M17,AS,20,18,3,0,18,20,3,2,79756,64994,56,43,11,4,2,0,HK,TW,4590,2015-05-27
LMQ,CRS,16,24,1,1,24,16,3,2,62727,68641,42,64,3,8,0,1,US,US,301,2014-07-06
C9,Velocity Esports,22,15,0,0,15,22,0,0,63249,47133,55,30,0,0,1,0,US,US,1920,2013-08-03
WFX,DIG,12,26,0,2,27,12,3,3,70311,84664,36,74,6,9,0,1,US,US,404,2015-02-23
FNC,ROC,20,21,3,0,21,20,3,2,74675,65822,40,49,9,4,1,0,EU,EU,2201,2015-06-05
MIL,GMB,30,10,1,0,10,30,3,0,58097,38542,64,19,9,0,1,0,EU,RU,638,2014-07-03
ROC,MIL,12,2,1,0,2,12,3,0,56071,36431,22,1,9,0,1,0,EU,EU,465,2014-01-16
C9,CRS,2,4,0,4,4,2,1,5,74999,96623,6,4,4,11,0,1,US,US,303,2014-07-06
SK,MYM,20,8,1,0,8,20,3,2,72622,53919,48,17,9,0,1,0,EU,PL,466,2014-01-17
CLG,TSM,18,9,0,0,9,18,0,0,65352,53906,46,19,0,0,1,0,US,US,1921,2013-08-03
CLG,LMQ,9,20,0,1,20,9,0,5,49107,69996,26,60,3,10,0,1,US,US,304,2014-07-06
FNC,GMB,3,10,0,2,10,3,1,4,61370,72237,10,29,7,10,0,1,EU,RU,590,2014-05-30
MIL,FNC,13,16,0,2,16,13,2,5,71452,87866,34,49,5,9,0,1,EU,EU,467,2014-01-17
TPA,AS,19,20,2,1,20,19,3,3,82075,80766,48,52,6,9,0,2,TW,TW,4598,2015-06-04
C9,CRS,17,7,1,0,7,17,1,3,60432,45793,60,19,8,3,2,0,US,US,233,2014-04-20
GMB,SK,17,29,0,1,29,17,1,5,64825,75683,39,87,5,10,0,1,RU,EU,785,2015-03-28
UOL,H2K,10,20,0,1,20,10,1,5,60531,73674,18,48,4,10,0,1,EU,EU,743,2015-02-20
DIG,XDG,18,5,1,0,5,18,3,1,71637,51157,32,10,11,1,1,0,US,US,174,2014-02-24
FNC,S04,14,3,2,0,3,14,4,0,57998,43436,33,10,10,3,1,0,EU,EU,786,2015-03-28
CW,ROC,1,9,0,2,9,1,0,4,52192,71487,3,13,3,11,0,1,DK,EU,550,2014-03-29
CW,MYM,6,23,1,0,23,6,0,3,39356,58928,13,53,0,10,0,1,DK,PL,639,2014-07-03
CST,DIG,7,12,0,0,12,7,0,0,44662,57161,22,33,0,0,0,1,US,US,1922,2013-08-03
CW,MYM,5,18,0,1,18,5,1,3,49648,67254,13,40,3,10,0,1,DK,PL,591,2014-05-30
EG,CLB,16,14,0,1,14,16,4,1,69523,67043,35,26,7,5,1,0,US,US,348,2014-08-04
DIG,EG,13,12,1,1,12,13,4,3,90559,81558,25,27,10,5,1,0,US,US,296,2014-07-05
H2K,GMB,22,5,1,0,5,22,1,2,54765,40020,41,11,10,2,1,0,EU,RU,2202,2015-06-05
MIL,ALL,22,8,1,0,8,22,4,0,68328,57348,47,13,7,5,1,0,EU,EU,510,2014-02-22
OMG,Young Glory,16,2,0,0,2,16,0,0,53304,33989,44,5,0,0,1,1,CN,CN,1759,2014-07-13
CLG,TSM,24,28,0,0,28,24,0,0,95131,91176,27,61,0,0,1,0,US,US,1869,2013-07-01
ROC,CW,8,14,0,1,14,8,1,3,54899,65002,14,32,4,8,0,1,EU,DK,468,2014-01-17
MYM,GMB,15,24,1,1,24,15,3,4,78468,84682,32,61,7,9,0,1,PL,RU,624,2014-06-27
OMG,IG,4,13,0,0,13,4,0,0,51923,58766,4,32,0,0,0,2,CN,CN,1031,2015-03-22
GMB,FNC,25,4,0,0,4,25,0,0,54008,35872,76,9,0,0,1,0,RU,EU,1155,2013-02-11
FNC,GMB,9,33,0,1,33,9,0,5,55377,72303,18,87,5,8,0,1,EU,RU,744,2015-02-21
DIG,Velocity Esports,29,10,0,0,11,29,0,0,64682,43325,59,21,0,0,1,0,US,US,1870,2013-07-01
GMB,MYM,24,15,1,1,15,24,3,2,78970,69043,53,30,8,6,1,0,RU,PL,469,2014-01-17
CLG,CST,17,3,0,0,3,32,0,0,75378,42407,36,5,0,0,1,0,US,US,1923,2013-08-15
ROC,S04,13,2,1,0,2,13,3,0,57230,43589,28,1,11,3,1,0,EU,EU,745,2015-02-21
NIP,ALL,2,14,0,0,13,4,0,0,42677,71696,8,36,0,0,0,1,EU,EU,1156,2013-02-11
LGD,RYL,18,10,0,0,10,18,0,0,57208,44655,45,24,0,0,1,1,CN,CN,1735,2014-06-15
ALL,ROC,10,17,0,1,17,10,1,5,64943,78698,25,34,5,9,0,1,EU,EU,470,2014-01-17
GIA,GMB,18,9,0,0,9,18,0,0,58412,45898,39,13,0,0,1,0,EU,RU,1157,2013-02-11
CRS,XDG,9,20,0,0,20,9,0,0,48149,58622,18,52,0,0,0,1,US,US,1871,2013-07-05
CW,MYM,25,18,0,1,18,25,4,2,83098,76900,86,46,8,4,1,0,DK,PL,746,2015-02-21
ALL,FNC,21,8,1,0,8,21,3,1,66069,52787,60,20,7,3,1,0,EU,EU,511,2014-02-28
SK,ROC,14,7,1,0,7,14,3,1,67702,50453,30,13,11,2,1,0,EU,EU,625,2014-06-27
CLB,DIG,9,10,0,4,11,9,1,5,78538,87481,31,16,8,7,1,0,US,US,306,2014-07-07
H2K,UOL,19,6,1,0,6,19,2,2,58555,41729,38,9,11,2,1,0,EU,EU,787,2015-03-28
Velocity Esports,TSM,16,13,0,0,13,16,0,0,56829,63826,39,31,0,0,0,1,US,US,1872,2013-07-05
SK,MYM,15,4,1,0,4,15,3,1,68935,48787,32,10,11,2,1,0,EU,PL,512,2014-02-28
MIL,ALL,9,10,0,1,10,9,0,3,43152,54705,18,16,4,9,0,1,EU,EU,471,2014-01-24
MYM,ROC,12,2,1,0,2,12,5,1,69573,56239,34,5,11,1,1,0,PL,EU,788,2015-03-28
TSM,CRS,8,5,1,1,5,8,1,4,74480,68660,19,10,10,4,1,0,US,US,298,2014-07-05
SK,ALL,30,15,0,0,15,31,0,0,77119,61194,87,27,0,0,1,0,EU,EU,1158,2013-02-11
MIL,GMB,7,19,0,1,19,7,1,2,46245,65193,12,33,4,9,0,1,EU,RU,513,2014-02-28
SK,OG,9,37,0,2,37,10,2,3,54500,73132,20,106,4,11,0,1,EU,EU,2203,2015-06-05
CW,MIL,22,21,1,0,21,22,3,1,71006,58820,59,46,9,3,1,0,DK,EU,652,2014-07-12
DoubleBuff,Azure Cats,3,9,0,0,12,3,0,0,27591,38591,9,22,0,0,0,2,US,US,1820,2013-05-11
CW,SK,11,17,0,2,17,11,1,3,51787,71731,20,38,1,10,0,1,DK,EU,613,2014-06-14
ROC,ALL,6,12,0,1,12,7,0,3,45292,60973,12,32,4,9,0,1,EU,EU,626,2014-06-28
LGD,M3,21,8,0,0,8,21,0,0,66461,56110,52,19,0,0,2,0,CN,CN,947,2015-01-25
ROC,MYM,12,4,0,1,4,12,5,1,80301,67691,35,5,8,4,1,0,EU,PL,472,2014-01-24
RYL,LGD,7,18,0,0,18,7,0,0,41560,55951,13,38,0,0,0,2,CN,CN,997,2015-03-06
ALL,Against All Authority,12,6,0,0,20,5,0,0,47189,33063,29,42,0,0,0,1,EU,EU,1188,2013-03-03
LMQ,EG,19,13,1,1,13,19,5,1,79077,68701,53,34,11,5,1,0,US,US,307,2014-07-07
LGD,Young Glory,28,24,1,1,25,28,2,0,58073,48867,59,46,9,4,2,0,CN,CN,1781,2014-08-09
DIG,TSM,13,6,3,0,6,13,4,2,83735,66482,28,12,11,3,1,0,US,US,299,2014-07-06
GIA,Dragonborns,13,18,0,0,18,13,0,0,42803,51627,21,36,0,0,0,1,EU,EU,1189,2013-03-03
ROC,CW,6,15,1,1,15,6,0,5,61870,83014,10,35,2,11,0,1,EU,DK,514,2014-02-28
MYM,GIA,13,15,0,1,15,13,3,3,71421,79665,25,35,3,8,0,1,PL,EU,789,2015-03-28
UOL,CW,16,3,1,0,3,16,3,0,51384,36565,45,6,11,2,1,0,EU,DK,2204,2015-06-05
CW,ALL,18,2,1,0,2,18,3,0,54720,38254,29,5,11,1,1,0,DK,EU,641,2014-07-03
ALL,ROC,10,21,1,2,21,10,2,4,82893,93289,24,50,6,10,0,1,EU,EU,653,2014-07-12
DIG,C9,13,15,0,1,15,13,1,4,58707,73334,28,37,3,9,0,1,US,US,309,2014-07-07
DIG,CRS,16,29,0,0,29,16,0,0,88876,92182,33,81,0,0,0,1,US,US,1924,2013-08-15
SK,NIP,13,4,0,0,4,9,0,0,61308,42749,35,9,0,0,1,0,EU,EU,1190,2013-03-03
TSM,DIG,20,6,2,0,6,20,3,1,65360,45623,51,5,10,2,1,0,US,US,410,2015-03-01
MIL,MYM,7,19,0,1,19,7,1,3,58623,76515,15,47,4,10,0,1,EU,PL,642,2014-07-04
FNC,GMB,17,0,1,0,0,17,3,1,61932,45395,39,0,8,2,1,0,EU,RU,515,2014-03-01
SK,GMB,2,12,0,0,12,2,0,0,29631,45742,6,25,0,0,0,1,EU,RU,1191,2013-03-04
ALL,Dragonborns,20,6,0,0,6,20,0,0,63895,50471,53,11,0,0,1,0,EU,EU,1159,2013-02-17
NIP,SK,6,16,0,0,14,6,0,0,51516,76124,5,46,0,0,0,1,EU,EU,1160,2013-02-17
UOL,FNC,4,15,0,1,15,4,2,3,48930,64376,11,45,3,9,0,1,EU,EU,2190,2015-05-29
RYL,EDG,6,19,0,2,19,6,2,2,48540,69011,19,54,2,9,0,2,CN,CN,1695,2014-03-21
PS,Salade Tomate Oignon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EU,EU,1517,2014-01-17
SK,CW,29,9,0,0,9,29,3,0,56270,34531,64,15,9,2,1,0,EU,DK,643,2014-07-04
MIL,SK,19,9,2,0,9,19,3,2,68290,54466,53,18,8,3,1,0,EU,EU,627,2014-06-28
CLG,CST,8,22,0,0,22,8,0,0,58660,75324,22,57,0,0,0,1,US,US,1874,2013-07-05
IG,EP,16,2,1,0,2,16,3,0,70804,47635,29,7,11,2,1,1,CN,,1679,2014-03-01
FNC,Lemondogs,17,23,0,0,23,17,0,0,76900,79200,41,59,0,0,0,1,EU,,2094,2013-06-30
ALL,FNC,11,17,1,1,17,11,1,6,78349,93072,22,47,6,8,0,1,EU,EU,644,2014-07-04
Dragonborns,ALL,12,5,0,0,5,12,0,0,50247,41427,28,12,0,0,1,0,EU,EU,1193,2013-03-04
SSW,SSB,23,33,0,0,33,24,0,0,66000,74000,59,93,0,0,1,3,KR,KR,1664,2014-08-01
GIA,OG,8,18,0,1,18,8,1,3,55523,62740,19,49,4,10,0,1,EU,EU,2191,2015-05-29
M17,HKE,9,22,1,1,22,9,0,6,62468,75095,22,53,3,9,1,1,HK,HK,4595,2015-05-29
NIP,GIA,16,5,0,0,3,19,0,0,34469,32980,31,14,0,0,1,0,EU,EU,1194,2013-03-04
AHQ,AS,17,5,1,0,5,17,3,0,59208,43383,35,11,11,1,2,0,TW,TW,4594,2015-05-29
FNC,GMB,10,20,0,0,20,10,0,0,37891,52033,12,34,0,0,0,1,EU,RU,1228,2013-04-07
ALL,Dragonborns,24,8,0,0,8,24,0,0,55043,47857,74,18,0,0,1,0,EU,EU,1195,2013-03-16
T8,AOE,30,21,0,0,21,30,0,0,80155,61309,75,40,0,0,1,0,US,US,1485,2014-06-30
CRS,C9,11,23,0,0,23,11,0,0,39103,53298,13,67,0,0,0,1,US,US,1875,2013-07-05
Dragonborns,NIP,8,19,0,0,24,7,0,0,41897,49613,17,56,0,0,0,1,EU,EU,1229,2013-04-07
TL,C9,23,8,1,1,8,23,2,3,69530,57962,63,16,10,4,1,0,US,US,1982,2015-06-14
CA,vVv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,US,US,2280,2014-04-06
FNC,MYM,9,15,0,1,15,9,2,3,53418,65406,18,38,5,8,0,1,EU,PL,628,2014-06-28
CW,SK,20,2,1,0,2,20,3,1,57256,40899,47,1,9,3,1,0,DK,EU,2192,2015-05-29
TSM,CST,19,12,0,0,12,19,0,0,57224,46219,57,28,0,0,1,0,US,US,1876,2013-07-05
GMB,ROC,15,13,0,2,13,15,5,1,77328,80164,40,34,7,7,0,1,RU,EU,645,2014-07-04
ZEN,AKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,US,1488,2014-06-30
Velocity Esports,CLG,7,15,0,0,15,7,0,0,52004,60226,11,38,0,0,0,1,US,US,1877,2013-07-05
KNG,LGD,6,20,0,0,20,6,0,0,48650,64013,10,64,0,0,1,1,CN,CN,1033,2015-04-03
Dragonborns,ALL,6,13,0,0,13,6,0,0,45517,55375,14,19,0,0,0,1,EU,EU,1231,2013-04-07
MYM,ROC,13,7,2,0,7,13,4,0,64062,44939,34,20,10,2,1,0,PL,EU,654,2014-07-18
SK,Against All Authority,25,15,0,0,31,8,0,0,72019,43001,80,56,0,0,0,1,EU,EU,1196,2013-03-16
4EZ,SKP,6,14,0,0,14,6,0,0,35296,53430,11,24,0,0,0,2,EU,EU,1594,2014-07-18
FW,AS,15,4,1,0,4,15,3,0,58928,40518,39,7,11,0,2,0,TW,TW,4804,2015-06-10
FNC,Against All Authority,17,6,0,0,10,10,0,0,50194,20881,44,19,0,0,1,0,EU,EU,1232,2013-04-07
DIG,XDG,13,18,0,0,18,13,0,0,56345,65050,28,39,0,0,0,1,US,US,1878,2013-07-05
DNE,CSG,19,15,0,0,15,20,0,0,62911,57797,44,40,0,0,2,0,EU,EU,2322,2014-04-02
NIP,H2K,10,17,0,0,17,10,0,0,47205,60483,30,55,0,0,0,2,EU,EU,1576,2014-06-21
